"id","pregunta","respuesta"
"11","¿Qué es el Partal Alto?","El Partal Alto es el área palacial que Muhammad II erigió dentro de la Sabika, al sur del actual Partal, con jardines, baño, viviendas privadas, patios y un eje principal con salón y pórtico abierto a una alberca."
"12","¿Dónde estaba el Partal Alto?","El Partal Alto estaba al sur del actual Palacio del Partal, dentro del recinto de la Alhambra. Fue demolido hacia 1734-1735 y hoy solo quedan huellas en planta."
"13","¿Qué quedó del Partal Alto?","Del Partal Alto solo quedan huellas en planta, ya que fue demolido hacia 1734-1735. Su eje principal con salón y pórtico abierto a una alberca de 6,18 por 27,45 metros es la referencia principal que nos ha llegado."
"14","¿Qué medidas tenía la alberca del Partal Alto?","La alberca del Partal Alto medía 6,18 por 27,45 metros y tenía un andén perimetral. El conjunto estaba conectado con la Bab al-Faray, la Puerta de la Alegría."
"15","¿Con qué puerta estaba conectado el Partal Alto?","El Partal Alto estaba conectado con la Bab al-Faray, la Puerta de la Alegría, que luego se convertiría en la Torre de los Picos y la Puerta de las Armas."
"16","¿Qué es la Rawda de la Alhambra?","La Rawda es el cementerio regio nazarí de la Alhambra. En árabe rawda significa jardín y se usaba para denominar los cementerios reales islámicos. Se atribuye su establecimiento a Muhammad II."
"17","¿Quién estableció la Rawda de la Alhambra?","La Rawda fue establecida posiblemente por Muhammad II junto al Partal Alto. Era el cementerio regio nazarí donde se enterraban los sultanes de Granada."
"18","¿Qué significa Rawda?","Rawda es una palabra árabe que significa jardín. En la tradición islámica se usaba para designar los cementerios regios, concebidos como jardines del paraíso. La Rawda de la Alhambra era el lugar de enterramiento de los sultanes nazaríes."
"19","¿Dónde estaba la Rawda en la Alhambra?","La Rawda estaba junto al Partal Alto, en el interior del recinto de la Alhambra. El Palacio de los Leones fue construido más tarde por Muhammad V en zonas próximas a ese cementerio regio."
"20","¿Se conserva la Rawda de la Alhambra?","La Rawda no se conserva como tal. El espacio fue ocupado por construcciones posteriores y hoy el área donde estuvo está parcialmente integrada en el entorno del Palacio de los Leones y la iglesia de Santa María de la Alhambra."
"21","¿Quién construyó el Generalife?","La primera construcción nazarí del Generalife se atribuye a Muhammad II, aunque algunos la atribuyen a Muhammad III. Estaba extramuros de la Alhambra y se accedía desde la Bab al-Faray."
"22","¿Cuándo se construyó el Generalife por primera vez?","La primera construcción nazarí del Generalife se sitúa a finales del siglo XIII, bajo Muhammad II o Muhammad III. Se levantó sobre o junto a una posible casa de campo almohade preexistente."
"23","¿Cómo se accedía al Generalife original?","Al Generalife original se accedía directamente desde la Bab al-Faray, la Puerta de la Alegría, que conectaba el recinto de la Alhambra con la almunia extramuros."
"24","¿Qué había en el lugar del Generalife antes de los nazaríes?","Antes de la construcción nazarí, en el lugar del Generalife pudo existir una casa de campo almohade, ya que el Cerro del Sol era un espacio asociado a recreo y cultivo desde época anterior."
"25","¿Qué tipo de edificio era el Generalife original?","El Generalife original era una almunia, es decir, una residencia campestre y de recreo de los sultanes, con jardines, huertas de labranza y corrales para animales, situada en las laderas del Cerro del Sol."
"26","¿Cuándo se construyó el Palacio de Abencerrajes?","El Palacio de Abencerrajes es uno de los palacios del siglo XIII de la Alhambra. Está adosado a la muralla meridional en la mitad de la Sabika y sus restos muestran una torre con qubba interior, una alberca larga y estrecha, y doble baño."
"27","¿Qué restos quedan del Palacio de Abencerrajes del siglo XIII?","Del Palacio de Abencerrajes del siglo XIII quedan una torre con qubba interior bajo la que discurre el camino de ronda, una alberca larga y estrecha, y doble baño, uno del siglo XIII y otro del XIV."
"28","¿Dónde está situado el Palacio de Abencerrajes?","El Palacio de Abencerrajes está adosado a la muralla meridional de la Alhambra, en la mitad de la colina de la Sabika. Es uno de los palacios más antiguos del conjunto."
"29","¿Qué función tenía la torre del Palacio de Abencerrajes?","La torre del Palacio de Abencerrajes tenía una qubba interior, es decir, un salón con cúpula, bajo el que discurría el camino de ronda de la muralla. Era una tipología que combinaba función defensiva y palatina."
"30","¿Cuántos baños tenía el Palacio de Abencerrajes?","El Palacio de Abencerrajes tenía doble baño: uno construido en el siglo XIII y otro añadido en el siglo XIV, lo que refleja la importancia del baño árabe en la vida cortesana nazarí."
"31","¿Quién construyó el Palacio del Partal?","El Palacio del Partal fue construido por Muhammad III entre 1302 y 1309. Es uno de los palacios mejor conservados de la Alhambra y su elemento más característico es el gran pórtico de cinco arcos frente a la alberca."
"32","¿Qué es el Palacio del Partal?","El Palacio del Partal es un palacio nazarí construido por Muhammad III a principios del siglo XIV. Tiene un gran pórtico de cinco arcos que se refleja en una alberca rectangular de 25 por 13,60 metros."
"33","¿Qué medidas tiene la alberca del Partal?","La alberca del Partal mide 25 por 13,60 metros. Es una gran masa de agua rectangular en cuya superficie especular se refleja el pórtico, el salón y la torre del palacio."
"34","¿Qué es la Torre de las Damas?","La Torre de las Damas es el nombre con el que se conoce desde finales del siglo XVIII la torre del Palacio del Partal que alberga el salón principal. Fue construida por Muhammad III a principios del siglo XIV."
"35","¿Qué poemas hay en el Partal?","En el Salón del Partal se conserva un sencillo programa poético de tres breves casidas en cursiva: un pareado dedicado al Profeta y otras dos composiciones atribuidas a Ibn al-Yayyab, poeta áulico de Muhammad III."
"36","¿Qué pinturas hay en el Partal?","En la casa inmediata al Partal se conservan pinturas murales descubiertas en 1907, pintadas en la primera mitad del siglo XIV sobre un fino estuco de yeso con escenas de caza, música, tiendas de campaña y soldados."
"37","¿Cuándo se descubrieron las pinturas del Partal?","Las pinturas murales del Partal fueron descubiertas en 1907 debajo de los enlucidos de la pared. Son una muestra única de pintura áulica mural en al-Andalus, sin parangón en el resto de la arquitectura nazarí."
"38","¿Qué escenas representan las pinturas del Partal?","Las pinturas del Partal representan en cuatro franjas paralelas: escenas de caza con hombres armados frente a leones y un oso, tiendas de campaña con mujeres sentadas y siervos, dama sobre camello, y escenas de música con laúd, guitarra, pandereta y flauta."
"39","¿Con qué técnica se pintaron las pinturas del Partal?","Las pinturas del Partal fueron realizadas sobre un fino estuco de yeso con calcos y colores batidos con yema de huevo, siguiendo los principios de bidimensionalidad, linealidad y narratividad discursiva propios del arte islámico medieval."
"40","¿Qué hace únicas a las pinturas del Partal?","Las pinturas del Partal son únicas porque son la muestra más importante de pintura áulica mural conservada en al-Andalus, con claros antecedentes orientales. Representan escenas cortesanas, de caza y de entretenimiento sin parangón en la arquitectura nazarí."
"41","¿Quién construyó la Mezquita Mayor de la Alhambra?","La Mezquita Mayor de la Alhambra fue construida por Muhammad III en 1303. Tenía buena obra de ladrillo, tres naves, mihrab saliente y magníficas columnas con capiteles de plata y ricas lámparas."
"42","¿Cuándo se construyó la Mezquita Mayor de la Alhambra?","La Mezquita Mayor de la Alhambra fue construida en 1303 por Muhammad III. Su construcción marcó que la colina de la Sabika dejaba de ser un reducto castrense para convertirse en una verdadera ciudad."
"43","¿Qué pasó con la Mezquita Mayor de la Alhambra?","La Mezquita Mayor fue consagrada por los Reyes Católicos como catedral y después demolida en 1576. Sobre parte de su solar se construyó más tarde la Iglesia de Santa María de la Alhambra."
"44","¿Cómo se financió la Mezquita Mayor de la Alhambra?","Según Ibn al-Jatib, la Mezquita Mayor fue financiada con la capitación impuesta a los infieles cristianos de las fronteras para rescatar unos sembrados. Tenía tres naves y medía unos 50 por 60 pies."
"45","¿Qué se conserva de la Mezquita Mayor de la Alhambra?","De la Mezquita Mayor se conserva una lámpara en el Museo Arqueológico Nacional, de bronce calado, con lema nazarí, inscripción regia con fecha de fundición de 1305 y finísimos atauriques."
"46","¿Qué es la Calle Real de la Alhambra?","La Calle Real Alta es la vía principal del interior de la Alhambra, establecida por Muhammad III para conectar la Puerta del Vino, la Mezquita Mayor, la Rawda y el Secano o barrio artesanal."
"47","¿Quién estableció la Calle Real Alta de la Alhambra?","La Calle Real Alta fue establecida por Muhammad III como eje urbano principal del recinto, conectando la Puerta del Vino con la Mezquita Mayor, la Rawda y el barrio artesanal del Secano."
"48","¿Qué es el Secano de la Alhambra?","El Secano es el barrio artesanal de la Alhambra, todavía mal conocido, situado al este del recinto. En él se han descubierto silos, pozos, hornos de cerámica, una curtiduría y casas, entre ellas el llamado palacio del almotacén."
"49","¿Qué se ha encontrado en el barrio artesanal del Secano?","En el Secano de la Alhambra se han descubierto silos, pozos, hornos de cerámica, una curtiduría, casas y lo que se ha llamado el palacio del almotacén, una amplia vivienda con alberca alargada en el patio y baño."
"50","¿Qué significó la construcción de la Mezquita Mayor para la Alhambra?","La construcción de la Mezquita Mayor en 1303 indicó que la colina de la Sabika dejaba de ser un reducido emplazamiento castrense y se convertía en una verdadera ciudad en torno a la corte y la administración central nazarí."
"51","¿Qué es la Puerta del Vino?","La Puerta del Vino es una de las puertas del interior de la Alhambra, probablemente construida en época de Muhammad III. Muhammad V la remozó añadiendo paneles cerámicos de cuerda seca y el comienzo de la azora de la Victoria."
"52","¿Quién remozó la Puerta del Vino?","Muhammad V remozó la Puerta del Vino añadiéndole, bajo la llave símbolo del umbral, el comienzo de la azora de la Victoria y excelentes paneles cerámicos de cuerda seca en la fachada interior."
"53","¿Qué elementos decorativos tiene la Puerta del Vino?","La Puerta del Vino tiene en su fachada interior paneles cerámicos de cuerda seca y el comienzo de la azora de la Victoria añadidos por Muhammad V, junto al símbolo de la llave en el centro del dintel."
"54","¿Qué simboliza la llave en la Puerta del Vino?","La llave en la Puerta del Vino es el símbolo del umbral, un elemento recurrente en las puertas de la Alhambra que representa la autoridad y el control del acceso. Aparece también en la Puerta de la Justicia."
"55","¿Por qué se llama Puerta del Vino?","La Puerta del Vino recibe ese nombre posiblemente porque en sus inmediaciones se almacenaba o distribuía vino en época cristiana, aunque su origen y función en época nazarí estaban relacionados con la articulación del espacio interior del recinto."
"56","¿Qué es el Diwan al-Insa?","El Diwan al-Insa era la Oficina de Redacción creada por Muhammad II para agilizar el gobierno y la diplomacia. Sus funcionarios-poetas componían casidas regias, panegíricos y elegías, y de ahí surgió la tradición de poesía monumental de la Alhambra."
"57","¿Quién creó el Diwan al-Insa?","El Diwan al-Insa fue creado por Muhammad II. Era la oficina de redacción del sultanato nazarí, dirigida por funcionarios-poetas que componían los textos oficiales y los poemas que luego se grabarían en los muros de los palacios."
"58","¿Qué función tenía el Diwan al-Insa en la Alhambra?","El Diwan al-Insa tenía la función de agilizar el gobierno y la diplomacia del sultanato. Sus funcionarios redactaban documentos oficiales y componían casidas sultaniyyas, panegíricos para festividades y elegías fúnebres, además de los poemas que se grababan en los edificios."
"59","¿Qué son las casidas sultaniyyas?","Las casidas sultaniyyas son panegíricos poéticos dedicados al sultán en festividades religiosas, bodas, nacimientos, circuncisiones de príncipes, viajes, alardes militares y regresos victoriosos. Los poetas del Diwan al-Insa las componían y a veces se grababan en los muros de los palacios."
"60","¿Quiénes fueron los grandes poetas de la Alhambra?","Los grandes poetas de la Alhambra fueron Ibn al-Yayyab (1274-1349), su discípulo Ibn al-Jatib (1313-1374) y el alumno de este, Ibn Zamrak (1333-h.1393), además del sultán Yusuf III y su poeta áulico Ibn Furkun. Todos fueron también visires del sultanato."
"61","¿Qué es el palacio del exconvento de San Francisco?","El palacio nazarí del entorno del exconvento de San Francisco, actual Parador Nacional, es uno de los palacios del siglo XIII de la Alhambra. Por él pasa la Acequia Real y fue reformado por Muhammad V."
"62","¿Qué es el Parador de la Alhambra?","El Parador Nacional de la Alhambra ocupa el antiguo convento de San Francisco, que fue la primera sepultura de los Reyes Católicos. En ese lugar existía un palacio nazarí del siglo XIII por el que pasa la Acequia Real."
"63","¿Cuál fue la primera sepultura de los Reyes Católicos?","Los Reyes Católicos fueron enterrados inicialmente en el convento de San Francisco dentro de la Alhambra, actual Parador Nacional, antes de ser trasladados a la Capilla Real de Granada."
"64","¿Quién reformó el palacio del exconvento de San Francisco?","El palacio nazarí del entorno del exconvento de San Francisco fue reformado por Muhammad V. Es uno de los palacios del siglo XIII que este sultán adaptó a sus necesidades en el siglo XIV."
"65","¿Por qué es importante la Acequia Real en el palacio del exconvento de San Francisco?","La Acequia Real pasa por el palacio del exconvento de San Francisco, lo que confirma que este edificio estaba integrado en el sistema hidráulico de la Alhambra desde el siglo XIII, con acceso directo al canal principal de abastecimiento."
"66","¿Qué características tienen los palacios del siglo XIII de la Alhambra?","Los palacios del siglo XIII presentan salas-qubbas modestas en torretas con distribución tripartita, pórticos abiertos a patios alargados con alberca, pervivencia de soportes de pilastras, zócalos de cerámica y decoración de sebkas y yeserías."
"67","¿Qué tipo de decoración tienen los palacios nazaríes del siglo XIII?","Los palacios nazaríes del siglo XIII tienen decoración de sebkas, yeserías con atauriques, policromía en verde, rojo y azul, y programas epigráficos en cúfico y cursiva, aunque todavía sin poemas ni el lema nazarí."
"68","¿Qué es una sala-qubba?","Una sala-qubba es una sala de planta cuadrada cubierta con una cúpula, de dimensiones modestas en los palacios del siglo XIII, que progresivamente se convierte en el espacio principal de representación de los sultanes nazaríes."
"69","¿Tienen inscripciones poéticas los palacios del siglo XIII?","Los palacios del siglo XIII tienen programas epigráficos en escritura cúfica y cursiva, pero todavía sin poemas ni el lema nazarí 'Wa-la galiba illa Allah', que se generaliza en los palacios construidos a partir del siglo XIV."
"70","¿Qué semejanzas tienen los palacios del siglo XIII con los de época almohade?","Los palacios del siglo XIII presentan semejanzas estructurales y decorativas con los de época almohade y taifa: salas-qubbas modestas, pórticos abiertos a patios con alberca, soportes de pilastras y zócalos de cerámica y pintados."
"71","¿Quién fue el príncipe Nasr?","El príncipe Nasr fue un sultán nazarí que reinó entre 1309 y 1314. Obligó a abdicar a su hermano Muhammad III y construyó la torre que hoy se conoce como Torre del Peinador de la Reina."
"72","¿Qué construyó el príncipe Nasr en la Alhambra?","El príncipe Nasr construyó la Torre de Abu l-Yuyus, conocida actualmente como Torre del Peinador de la Reina. Es una delicada torre mirador construida sobre el adarve que viene de la Torre de Comares."
"73","¿Qué es la Torre del Peinador de la Reina?","La Torre del Peinador de la Reina es el nombre popular de la Torre de Abu l-Yuyus, construida por el príncipe Nasr. Tiene una sala de 7 por 5 metros con ventanas bajas y celosías, centrada por una linterna con armadura ataujerada."
"74","¿Qué decoración tiene la Torre del Peinador de la Reina?","La Torre del Peinador de la Reina tiene una rica solería de azulejos con representaciones antropomórficas, zócalos con trazados geométricos y caligráficos pintados en rojo, verde y azul, y decoración con lemas y escudos nazaríes."
"75","¿Qué se añadió a la Torre del Peinador de la Reina en el siglo XVI?","En el siglo XVI se añadió a la Torre del Peinador de la Reina una estancia superior con galerías y magníficas pinturas renacentistas, conectándola con el patio de Daraxa y con las habitaciones que luego ocupó Washington Irving."
"76","¿Qué diferencia los palacios del siglo XIII de los del siglo XIV?","Los palacios del siglo XIII tienen salas-qubbas modestas, pórticos más pequeños y decoración sin poemas ni lema nazarí. Los del siglo XIV, como el Palacio de Comares o el de los Leones, son monumentales y tienen un rico programa poético grabado en sus muros."
"77","¿Qué es una sebka en la decoración nazarí?","Una sebka es un motivo decorativo de red de rombos o arcos entrelazados, de origen almohade, que aparece en los paños de yesería entre los arcos de los pórticos nazaríes del siglo XIII. Es uno de los elementos decorativos más característicos de esta etapa."
"78","¿Qué es el ataurique?","El ataurique es un tipo de decoración vegetal estilizada, con hojas y tallos entrelazados, que aparece en las yeserías de los palacios nazaríes. Está presente en los palacios del siglo XIII y se perfecciona en los grandes palacios del siglo XIV."
"79","¿Qué son los zócalos de alicatado?","Los zócalos de alicatado son revestimientos de la parte inferior de los muros formados por piezas de cerámica cortadas y ensambladas formando complejos diseños geométricos. Aparecen ya en los palacios del siglo XIII y se enriquecen en los del siglo XIV."
"80","¿Qué es la policromía de los palacios del siglo XIII?","La policromía de los palacios del siglo XIII usaba principalmente tres colores: verde, rojo y azul. Estos colores se aplicaban sobre las yeserías y sobre los elementos decorativos de madera y cerámica de los interiores palatinos."
"81","¿Qué tipo de arcos predominan en los palacios del siglo XIII?","En los palacios del siglo XIII predominan los arcos peraltados de herradura apuntada, con paños de sebka calada entre ellos. Los capiteles son cúbicos y los soportes alternan entre pilastras y columnas."
"82","¿Qué es un pórtico con alberca en la arquitectura nazarí?","Un pórtico con alberca es el esquema compositivo básico de los palacios nazaríes: una galería porticada que abre a un patio con una alberca rectangular central, cuya superficie especular refleja el pórtico y amplía visualmente el espacio."
"83","¿Qué baños se construyeron en el siglo XIII en la Alhambra?","En el siglo XIII se construyeron varios baños en la Alhambra, entre ellos el baño del Palacio de Abencerrajes y los baños del Partal Alto. El Baño Real fue construido por Isma'il I a principios del siglo XIV."
"84","¿Qué miradores se construyeron en el siglo XIII?","En el siglo XIII se construyeron miradores íntimos como el que tiene el Partal sobre el paisaje, con ventanas entre pilares. Estas estancias privadas con vistas al exterior son características de la arquitectura palatina nazarí desde sus inicios."
"85","¿Qué jardines había en los palacios del siglo XIII?","Los palacios del siglo XIII ya contaban con jardines, baños, fuentes y viviendas, como indica el Partal Alto. Sin embargo, los grandes jardines de la Alhambra se desarrollaron especialmente en el siglo XIV con los palacios de Comares y los Leones."
"86","¿Cuándo reinó Muhammad III?","Muhammad III reinó entre 1302 y 1309. Accedió al poder envenenando a su padre Muhammad II y construyó la Mezquita Mayor, el Palacio del Partal y estableció la Calle Real como eje urbano del recinto."
"87","¿Cómo murió Muhammad III?","Muhammad III fue obligado a abdicar por su hermano el príncipe Nasr en 1309 y halló su fin más tarde ahogado en una alberca, por orden de su sucesor."
"88","¿Qué aportó Muhammad III a la poesía de la Alhambra?","Muhammad III era dado a la poesía y bajo su reinado trabajó Ibn al-Yayyab como poeta áulico, dejando las primeras composiciones grabadas en los muros del Partal, que son un antecedente de la gran tradición de poesía monumental de la Alhambra."
"89","¿Qué palacete construyó Muhammad III en el Nayd?","Muhammad III construyó un palacete en el Nayd, la ladera meridional de la Sabika, provisto de qubba, alberca y fuente con leones, que cantaron sendos poemas de Ibn al-Yayyab e Ibn Zamrak. Fue sustituido por construcciones posteriores."
"90","¿Qué es el Nayd en la Alhambra?","El Nayd es la ladera meridional de la colina de la Sabika donde Muhammad III construyó un palacete. El término árabe nayd hace referencia a una zona elevada o ladera."
"91","¿Quién fue Ibn al-Yayyab?","Ibn al-Yayyab (1274-1349) fue el primer gran poeta de la Alhambra y poeta áulico de Muhammad III. Es maestro de Ibn al-Jatib y sus composiciones son las primeras que se conocen grabadas en los muros de los palacios nazaríes."
"92","¿Qué poemas dejó Ibn al-Yayyab en la Alhambra?","Ibn al-Yayyab dejó composiciones en el Partal, en la Torre de la Cautiva y en el Generalife, entre otros lugares. Sus poemas exaltan la belleza de los edificios, alaban al sultán y emplean metáforas nupciales y luminosas características de la tradición nazarí."
"93","¿Qué relación tenía Ibn al-Yayyab con Ibn al-Jatib?","Ibn al-Yayyab fue el maestro de Ibn al-Jatib, el más importante de los poetas-visires de la Alhambra. Esta relación maestro-discípulo marcó la continuidad de la gran tradición poética nazarí a lo largo del siglo XIV."
"94","¿Qué cargos ocupó Ibn al-Yayyab además de poeta?","Ibn al-Yayyab, como el resto de los grandes poetas de la Alhambra, fue también visir del sultanato nazarí. Los poetas de la Alhambra eran a la vez funcionarios de alto rango que ejercían la máxima autoridad estatal después del sultán."
"95","¿Qué es el doble visirato nazarí?","El doble visirato fue una institución establecida por Muhammad II que dividía las responsabilidades del visir entre dos personas, permitiendo una gestión más eficiente del sultanato y garantizando la continuidad administrativa."
"96","¿Qué reformas administrativas introdujo Muhammad II?","Muhammad II introdujo el doble visirato y creó el Diwan al-Insa, la Oficina de Redacción, para agilizar el gobierno y la diplomacia. También fomentó las ciencias y la cultura trayendo a su corte a importantes sabios."
"97","¿Qué sabios trajo Muhammad II a su corte?","Muhammad II trajo a su corte a sabios conocedores de las ciencias de los Antiguos, como Ibn al-Raqqam, experto en astronomía y matemáticas, y al-Riquti, conocedor de la medicina y la filosofía clásica."
"98","¿Qué heredaron los sultanes del siglo XIV de los palacios del siglo XIII?","Los sultanes del siglo XIV heredaron el esquema compositivo básico del patio con alberca y pórtico, la tradición de la qubba como sala principal y el sistema de abastecimiento de agua de la Acequia Real, todo lo cual amplificaron a escala monumental."
"99","¿Cómo influyó el siglo XIII en la arquitectura nazarí del siglo XIV?","El siglo XIII estableció los modelos tipológicos de la arquitectura palatina nazarí: el patio con alberca, la qubba, el pórtico de columnas y los jardines. El siglo XIV los llevó a su máxima expresión monumental con los palacios de Comares y los Leones."
"100","¿Qué elementos del siglo XIII se conservan hoy en la Alhambra?","Del siglo XIII se conservan el Palacio del Partal con sus pinturas murales, los restos del Palacio de Abencerrajes, la Torre del Peinador de la Reina, restos del palacio del exconvento de San Francisco y los cimientos del Partal Alto."
"101","¿Qué materiales se usaron en los palacios del siglo XIII?","Los palacios del siglo XIII usaron tapial de hormigón en los muros exteriores, ladrillo en los interiores y las bóvedas, yeso para las yeserías decorativas, cerámica para los zócalos y madera para los artesonados y carpinterías."
"102","¿Qué es la cerámica de cuerda seca?","La cerámica de cuerda seca es una técnica decorativa en la que las piezas se dividen en compartimentos mediante una mezcla grasa que impide que los esmaltes de distintos colores se mezclen durante la cocción. Muhammad V la usó en la Puerta del Vino."
"103","¿Qué es un artesonado?","Un artesonado es un techo de madera compuesto por casetones o artesones, generalmente decorados con lacería geométrica y policromía. Los palacios del siglo XIII ya usaban artesonados de madera, que se perfeccionan en los del siglo XIV."
"104","¿Qué es una armadura ataujerada?","Una armadura ataujerada es un tipo de techo de madera en el que las piezas están ensambladas formando lazos geométricos o lacería. La Torre del Peinador de la Reina tiene una armadura ataujerada con linterna central."
"105","¿Cuántos sultanes construyeron palacios en el siglo XIII en la Alhambra?","En el siglo XIII construyeron palacios en la Alhambra tres sultanes: Muhammad I, que levantó la fortaleza y las primeras estructuras; Muhammad II, que construyó el Partal Alto y estableció la Rawda; y Muhammad III, que construyó el Partal, la Mezquita Mayor y la Calle Real."
"106","¿Cuál es el palacio mejor conservado del siglo XIII en la Alhambra?","El palacio mejor conservado del siglo XIII en la Alhambra es el Palacio del Partal, construido por Muhammad III. Aunque fue reformado varias veces, conserva su pórtico, la alberca, la Torre de las Damas y las pinturas murales de la casa adyacente."
"107","¿Qué definió la ciudad palatina de la Alhambra en el siglo XIII?","En el siglo XIII se definieron los elementos fundamentales de la ciudad palatina: la fortaleza militar (Alcazaba), los primeros palacios (Partal, Abencerrajes, San Francisco), la Mezquita Mayor, la Rawda, el barrio artesanal del Secano y la almunia del Generalife."
"108","¿Qué significó para la Alhambra el paso del siglo XIII al XIV?","El paso del siglo XIII al XIV supuso la transformación de la Alhambra de un conjunto de palacios modestos vinculados a la tradición almohade en una verdadera ciudad palatina con palacios monumentales, programa poético propio y plena identidad arquitectónica nazarí."
"109","¿Qué legó el siglo XIII a la Alhambra del siglo XIV?","El siglo XIII legó al siglo XIV el modelo del patio con alberca, la qubba como sala representativa, la tradición de los jardines con agua, el Diwan al-Insa con sus poetas-visires y el lema nazarí, bases sobre las que se construyeron los grandes palacios del siglo XIV."
"110","¿Se puede visitar el Palacio del Partal?","Sí, el Palacio del Partal es visitable y forma parte del recorrido general de la Alhambra. Se puede ver el pórtico, la alberca, la Torre de las Damas y los jardines del Partal, aunque las pinturas murales de la casa adyacente requieren condiciones especiales de visita."
"111","¿Qué es lo más destacado del Partal para un visitante?","Lo más destacado del Partal para un visitante es la imagen del pórtico reflejado en la alberca, la vista desde la Torre de las Damas sobre los jardines y el Albaicín, y las pinturas murales del siglo XIV que se conservan en la casa adyacente al palacio."
"112","¿Están los jardines del Partal incluidos en la visita?","Sí, los jardines del Partal están incluidos en la entrada general a la Alhambra. Son uno de los espacios más tranquilos del conjunto, con estanques, fuentes y vegetación que permiten imaginar cómo era el paisaje de la Alhambra en época nazarí."
"113","¿Qué hay que observar en el Partal durante la visita?","En el Partal hay que observar la proporción del pórtico de cinco arcos, el reflejo en la alberca, los restos de decoración original en la Torre de las Damas, las inscripciones poéticas de Ibn al-Yayyab y, si se puede, las pinturas murales de la casa adyacente."
"114","¿Se puede ver el Generalife original del siglo XIII?","Del Generalife original del siglo XIII quedan pocas evidencias visibles. Lo que hoy se visita es principalmente el Generalife reformado por Isma'il I en 1319 y por los Reyes Católicos en el siglo XVI, aunque la estructura básica del Patio de la Acequia conserva el esquema original."
"115","¿Qué queda del Partal Alto que construyó Muhammad II?","Del Partal Alto solo quedan huellas en planta. Fue demolido hacia 1734-1735 y sus materiales reutilizados. Sin embargo, los jardines actuales del Partal Alto conservan el emplazamiento del palacio y permiten imaginar su distribución original."
"116","¿Por qué el siglo XIII es importante para entender la Alhambra que se visita hoy?","El siglo XIII es importante porque en él se establecieron la Alcazaba, los primeros palacios, la Mezquita Mayor, la Rawda y el Generalife, es decir, todos los elementos que configuran la ciudad palatina. Sin ese punto de partida no existirían los grandes palacios del siglo XIV que son el núcleo de la visita actual."
"117","¿Qué diferencia hay entre visitar la Alcazaba y visitar el Partal?","La Alcazaba muestra la cara militar y defensiva de la Alhambra del siglo XIII, con sus torres y murallas. El Partal muestra la cara palatina y cortesana del mismo período, con su pórtico, alberca y pinturas, dando una visión más completa de la Alhambra como ciudad."
"118","¿Cuánto tiempo se tarda en ver el Partal?","La visita al Partal y sus jardines requiere aproximadamente entre 20 y 30 minutos. Es un espacio más tranquilo y menos masificado que los Palacios Nazaríes, lo que permite disfrutar con calma de sus elementos arquitectónicos y del paisaje que lo rodea."
"119","¿Qué relación tiene el Partal con el Palacio de Comares?","El Partal y el Palacio de Comares comparten el mismo esquema compositivo: pórtico que abre a una alberca rectangular. El Partal, del siglo XIII, es un precedente más modesto de lo que el Palacio de Comares llevaría a escala monumental en el siglo XIV."
