"id","pregunta","respuesta"
"48","¿De dónde tomó Muhammad I el lema de su dinastía?","Muhammad I tomó el lema 'Wa-la galiba illa Allah' de las banderas almohades triunfantes en la batalla de Alarcos en 1195, adoptándolo como símbolo de continuidad para la nueva dinastía nazarí."
"49","¿Dónde aparece el lema nazarí en la Alhambra?","El lema 'Wa-la galiba illa Allah' aparece grabado repetidamente en los muros, arcos, columnas y objetos artísticos de todos los palacios de la Alhambra, construidos a partir del siglo XIV."
"50","¿Cuál es el lema que se repite en los muros de la Alhambra?","El lema que se repite en los muros de la Alhambra es 'Wa-la galiba illa Allah', que significa 'No hay vencedor excepto Dios'. Fue adoptado por Muhammad I de las banderas almohades."
"51","¿Qué forma tenía la fortaleza roja de Muhammad I?","La fortaleza roja de Muhammad I formó una especie de trapecio irregular rodeado por una barbacana y doble muralla con dos torres principales: la Torre de la Vela y la Torre del Homenaje."
"52","¿Cómo era la planta de la fortaleza que construyó Muhammad I?","La fortaleza que construyó Muhammad I tenía planta de trapecio irregular, rodeada por barbacana y doble muralla, con la Torre de la Vela y la Torre del Homenaje como elementos principales."
"53","¿Qué elementos defensivos tenía la fortaleza roja original?","La fortaleza roja original tenía una planta trapezoidal irregular, estaba rodeada por una barbacana y doble muralla, y contaba con dos grandes torres: la Torre de la Vela y la Torre del Homenaje."
"54","¿Cuántas torres principales tiene la Alcazaba de la Alhambra?","La Alcazaba de la Alhambra tiene dos torres principales: la Torre de la Vela, de 16 metros de lado y 26,80 metros de altura, y la Torre del Homenaje, de 12 metros de base y 26 metros de altura."
"55","¿Qué es la barbacana de la fortaleza roja?","La barbacana es un muro exterior y más bajo que rodea la fortaleza roja, situado delante de la muralla principal para dificultar el acceso de los atacantes a las torres y muros interiores."
"56","¿Cuánto mide la Torre de la Vela?","La Torre de la Vela mide 16 metros de lado y 26,80 metros de altura, con muros de hormigón de 4,60 metros de grosor en la base."
"57","¿Cómo es la Torre de la Vela por dentro?","La Torre de la Vela tiene un sótano con entrada en el techo usado como silo o mazmorra, y tres pisos superiores con cámaras centrales rodeadas por pasillos a modo de deambulatorio."
"58","¿Qué grosor tienen los muros de la Torre de la Vela?","Los muros de la Torre de la Vela tienen 4,60 metros de grosor en la base, construidos en hormigón. La torre mide 16 metros de lado y 26,80 metros de altura total."
"59","¿Qué había en el sótano de la Torre de la Vela?","El sótano de la Torre de la Vela, al que se accedía por una entrada en el techo, se usaba como silo para almacenar grano o como mazmorra para prisioneros."
"60","¿De qué material están hechos los pisos superiores de la Torre de la Vela?","Los pisos superiores de la Torre de la Vela tienen fábrica de ladrillo nazarí, con bóvedas de aristas, baídas, esquifadas y de cañón que cubren los espacios interiores."
"61","¿Cuántas plantas tiene la Torre del Homenaje?","La Torre del Homenaje tiene seis plantas. La inferior cuenta con una matmura o silo y las superiores están formadas por pilares centrales cruciformes con bóvedas de arista y baídas."
"62","¿Cómo es la Torre del Homenaje de la Alhambra?","La Torre del Homenaje mide 12,12 por 10,46 metros de base y 26 metros de altura. Tiene seis plantas con pilares centrales cruciformes desde la tercera planta, similares a los de la Torre del Trovador de la Aljafería."
"63","¿Qué es una matmura en la Torre del Homenaje?","La matmura es el sótano o planta inferior de la Torre del Homenaje, usado como silo para almacenar provisiones o como mazmorra. A él se accedía desde la planta superior."
"64","¿Qué uso tenía el último piso de la Torre del Homenaje?","El último piso de la Torre del Homenaje era una vivienda en torno a un pequeño patio central abierto al aire libre. Según Gómez-Moreno, pudo servir de residencia al primer sultán nazarí y luego a los alcaides cristianos."
"65","¿Qué tienen en común la Torre del Homenaje y la Torre del Trovador de la Aljafería?","Ambas torres comparten un sistema de pilares centrales cruciformes en sus plantas superiores, que es un recurso arquitectónico de la tradición militar andalusí medieval."
"66","¿Qué hay en el interior de la Alcazaba además de las torres?","En el interior de la Alcazaba se encuentra el Barrio Castrense, con una docena de casas distribuidas a ambos lados de una calle central, además de almacenes, silos subterráneos, un baño árabe y un aljibe."
"67","¿Qué es el Barrio Castrense de la Alcazaba?","El Barrio Castrense es el conjunto de casas donde vivían los soldados de la guarnición nazarí, situado dentro de la Alcazaba. Se conserva en planta y sus casas se distribuyen a ambos lados de una calle angosta central."
"68","¿Cuántas casas tiene el Barrio Castrense de la Alhambra?","El Barrio Castrense tiene una docena de casas conservadas en planta, distribuidas a ambos lados de una calle central angosta, con pasajes de entrada laterales junto a las murallas norte y sur."
"69","¿Había un baño árabe dentro de la Alcazaba?","Sí, al final del Barrio Castrense, en la base de la Torre de la Vela, se conservan los restos de un baño árabe con sencilla decoración en el pavimento y un aljibe paralelo y conectado a él."
"70","¿Qué silos había en la Alcazaba de la Alhambra?","En la Alcazaba de la Alhambra había dos silos subterráneos además de los que se encontraban en las plantas inferiores de las torres. Servían para almacenar provisiones en caso de asedio."
"71","¿Qué coincidencia hay entre el apellido de Muhammad I y el nombre del lugar?","El apellido familiar de Muhammad I era al-Ahmar, que significa 'el Rojo', coincidiendo con el nombre al-Hamra' que ya tenía el lugar y también con el topónimo Granada, vinculado al color rojo de la fruta de la granada."
"72","¿Qué significa el apellido al-Ahmar?","Al-Ahmar significa 'el Rojo' en árabe. Es el apellido familiar de Muhammad I, que curiosamente coincide con el nombre al-Hamra' que ya tenía el lugar donde construyó la Alhambra."
"73","¿Tiene Granada relación con el color rojo?","Sí. El topónimo Granada se vincula al color rojo de la fruta de la granada, coincidiendo con el apellido al-Ahmar ('el Rojo') de Muhammad I y con el nombre al-Hamra' ('La Roja') del cerro de la Sabika."
"74","¿Por qué se dice que Muhammad I y la Alhambra comparten el mismo nombre?","Porque el apellido de Muhammad I era al-Ahmar ('el Rojo') y el lugar donde construyó su fortaleza ya se llamaba al-Hamra' ('La Roja'), siendo ambos nombres variantes del mismo adjetivo árabe."
"75","¿Cuántos nombres relacionados con el color rojo confluyen en la Alhambra?","Tres: el apellido al-Ahmar ('el Rojo') de Muhammad I, el nombre al-Hamra' ('La Roja') del cerro de la Sabika, y el topónimo Granada, vinculado al color rojo de la fruta de la granada."
"76","¿Qué innovaciones militares introdujo Muhammad I en la arquitectura?","Muhammad I desarrolló una arquitectura militar nazarí con torres más elevadas y esbeltas gracias al adelgazamiento progresivo de los muros en altura y sistemas de abovedamiento más variados y elegantes que los precedentes."
"77","¿Por qué las torres de la Alhambra son tan altas?","Las torres de la Alhambra son altas porque la arquitectura militar nazarí buscaba mayor elevación y esbeltez, logrando una mayor sensación exterior de poderío y estableciendo un diálogo visual directo entre la corte y la ciudad."
"78","¿Qué materiales se usaron en la construcción de la fortaleza roja?","La fortaleza roja se construyó principalmente con hormigón de cal en sus muros exteriores y ladrillo nazarí en los interiores de las torres, donde se usó también para dar forma a las bóvedas de los espacios interiores."
"79","¿De qué color eran los muros exteriores de la fortaleza roja?","Los muros exteriores de la fortaleza roja estuvieron revocados de blanco, como evidencian los restos conservados y las descripciones históricas que aluden a la blancura y brillo exterior de la Alhambra."
"80","¿Qué relación visual tenía la fortaleza roja con la ciudad de Granada?","La fortaleza roja establecía un diálogo visual directo con Granada gracias a la elevación de la colina de la Sabika, regulando el juego de miradas entre la corte y el pueblo de la ciudad."
"81","¿Cuántas puertas tiene la Alcazaba de la Alhambra?","La Alcazaba tiene tres puertas: la más antigua al suroeste, probablemente de la fortaleza prenazarí; la Torre y Puerta de las Armas, añadida en el siglo XIV; y la Puerta de la Tahona, al pie de la Torre del Homenaje."
"82","¿Cuál es la puerta más antigua de la Alcazaba?","La puerta más antigua de la Alcazaba está al suroeste, cerca de la Torre de la Vela. Es de reducidas dimensiones con doble arco de herradura apuntado y entrada en recodo, y probablemente perteneció a la fortaleza prenazarí."
"83","¿Qué es la Puerta de la Tahona?","La Puerta de la Tahona era la puerta que comunicaba la Alcazaba con el área palatina de la Alhambra. Estaba situada en el foso, al pie de la Torre del Homenaje, y quedó oculta al construirse el cubo semicircular en época de Carlos V."
"84","¿Completó Muhammad I el amurallamiento de toda la Sabika?","No está claro. Algunos investigadores creen que fue Muhammad I quien señaló el amurallamiento de toda la Sabika, pero otros atribuyen esa obra a su hijo Muhammad II. En cualquier caso, la fisonomía militar se completó en el siglo XIV."
"85","¿Quién completó las murallas de la Alhambra después de Muhammad I?","Las murallas de la Alhambra fueron completadas fundamentalmente por los sultanes del siglo XIV. Muhammad II pudo haber terminado el cerco de la Sabika que había iniciado su padre Muhammad I."
"86","¿Qué significa que Muhammad I hizo una 'refundación' de la Alhambra?","Se habla de refundación porque Muhammad I no se limitó a usar la fortaleza existente, sino que marcó nuevos cimientos, construyó murallas desde cero, trajo agua mediante la Acequia Real y transformó el lugar en una verdadera sede monárquica."
"87","¿Qué hizo Muhammad I nada más llegar a la Sabika?","Muhammad I subió a la Sabika, inspeccionó el lugar, marcó los cimientos del nuevo castillo, dejó a alguien a cargo de dirigir las obras y no terminó el año sin que estuviesen acabadas las murallas, según el manuscrito anónimo de Madrid y Copenhague."
"88","¿Cuánto tardaron en construirse las primeras murallas de la Alhambra?","Según el manuscrito anónimo de Madrid y Copenhague, Muhammad I marcó los cimientos y en menos de un año estaban listas las primeras murallas de la Alhambra, lo que muestra la urgencia y determinación del sultán."
"89","¿Era la Alhambra desde el principio una ciudad?","No desde el principio. Muhammad I dejó marcado el camino pero la Alhambra fue convirtiéndose gradualmente en una verdadera ciudad palatina, con palacios, mezquita, baños, barrio artesanal y cementerio real a lo largo del siglo XIV."
"90","¿Cómo describió Ibn al-Jatib la Alhambra en el siglo XIV?","Ibn al-Jatib describió la Alhambra como 'cabeza de la capital del reino, sede del islam y refugio del poder', añadiendo que después de haber sido terreno desértico era ya una novia dulcificada por la lluvia a la que cortejaban los astros."
"91","¿Qué funciones tenía la Alhambra como ciudad?","La Alhambra reunía funciones militares, regias, religiosas, económicas, administrativas y edilicias en torno a la figura del soberano, convirtiéndose en una ciudad palatina separada pero vinculada a Granada."
"92","¿Quién era el emir Abd Allah mencionado en los antecedentes de la Alhambra?","El emir Abd Allah (888-912) era el gobernante omeya de Córdoba durante cuyo reinado los árabes del distrito de Elvira se refugiaron en la fortaleza de al-Hamra' durante las luchas con los muladíes."
"93","¿Por qué se refugiaron los árabes en la Sabika en el siglo IX?","Los árabes se refugiaron en la fortaleza de al-Hamra' en la Sabika porque fueron perseguidos por los muladíes durante las feroces luchas que se produjeron en el distrito de Elvira bajo el emir cordobés Abd Allah (888-912)."
"94","¿Estaba la Alhambra conectada con la ciudad de Granada?","Sí, la Alhambra tenía conexiones con la ciudad a través de sus puertas y de la barbacana. En 1162 las crónicas mencionan un pasadizo abovedado que comunicaba la Alcazaba con la fortaleza de la Sabika cruzando el río Darro por el Puente del Cadí."
"95","¿Qué era el pasadizo abovedado mencionado en las crónicas del siglo XII?","El pasadizo abovedado era una comunicación subterránea entre la Alcazaba de la ciudad y la fortaleza de la Sabika que aparece mencionado en los relatos de los sucesos de 1162. Cruzaba el río Darro probablemente por el Puente del Cadí."
"96","¿Qué simbolismo tenía para los nazaríes el color rojo de la Alhambra?","El color rojo de la Alhambra tenía un significado especial para los nazaríes porque su propio apellido dinástico, al-Ahmar, significa 'el Rojo', creando una identificación entre la familia real y el monumento que gobernaban."
"97","¿Usó Muhammad I el nombre al-Hamra' a propósito para su nueva sede?","Es probable que Muhammad I eligiera conscientemente ese lugar entre otras razones porque su nombre al-Hamra' coincidía con su propio apellido al-Ahmar, reforzando el vínculo simbólico entre la dinastía y su nueva sede de poder."
"98","¿Qué relación tiene el Generalife con la fortaleza roja?","El Generalife es la almunia o residencia campestre de los sultanes, situada extramuros de la Alhambra en el Cerro del Sol. La Acequia Real construida por Muhammad I fue determinante para abastecer de agua tanto la fortaleza como el Generalife."
"99","¿Qué es el Cerro del Sol en relación a la Alhambra?","El Cerro del Sol, llamado en árabe Yabal al-'Arus o Monte de la Novia, es la colina contigua a la Sabika por la que pasa la Acequia Real. En sus laderas se construyó más tarde el Generalife y otras almunias reales."
"100","¿Tenía oratorio la Alcazaba original?","No se ha encontrado evidencia de un oratorio dentro de la Alcazaba original, lo que hace suponer que sus primeros ocupantes rezaban en una musalla o explanada al aire libre, tal vez contigua a la Puerta de la Justicia."
"101","¿Qué fue lo primero que construyó Muhammad I al llegar a la Sabika?","Lo primero que hizo Muhammad I fue marcar los cimientos del castillo y levantar sus murallas, al mismo tiempo que mandaba construir la Acequia Real para llevar agua desde el río Darro hasta la colina."
"102","¿Cómo llegaba el agua al interior de las torres de la fortaleza?","El agua llegaba a las torres y a la Alcazaba en general gracias a la Acequia Real que Muhammad I hizo construir desde el río Darro. Dentro del recinto había aljibes para almacenar el agua en caso de asedio."
"103","¿Qué diferencia la arquitectura militar nazarí de la almohade?","La arquitectura militar nazarí supera a la almohade en la elevación y esbeltez de sus torres, gracias al adelgazamiento progresivo de los muros en altura y a sistemas de abovedamiento más variados y elegantes."
"104","¿Tenían ventanas las torres de la fortaleza roja?","Las torres de la fortaleza roja tenían saeteras para la defensa y pequeñas ventanas en los pisos superiores, además de lugares para la guardia y comunicación con los adarves o caminos de ronda de las murallas."
"105","¿Qué es un adarve en la Alhambra?","El adarve es el camino de ronda situado en lo alto de las murallas de la Alhambra, desde el que los soldados podían moverse entre las torres y vigilar el exterior de la fortaleza."
"106","¿Qué es una bóveda baída?","Una bóveda baída es un tipo de bóveda semiesférica rebajada, como si se cortara una esfera por un plano inferior al ecuador. Se usa en varios espacios interiores de las torres de la Alcazaba de la Alhambra."
"107","¿Qué es una bóveda esquifada?","Una bóveda esquifada es una bóveda formada por cuatro paños planos o curvos que se unen en una arista central. Aparece en las salas interiores de las torres de la Alcazaba de la Alhambra."
"108","¿Cómo se entraba a la fortaleza roja original?","Se entraba a la fortaleza roja a través de puertas con entrada en recodo, un sistema defensivo que obliga al visitante a girar bruscamente al entrar, dificultando el asalto y permitiendo a los defensores atacar a los intrusos."
"109","¿Qué es una entrada en recodo?","Una entrada en recodo es un sistema defensivo de las fortalezas islámicas en el que la puerta no permite el acceso recto sino que obliga a girar uno o varios ángulos, dificultando la entrada a los atacantes."
"110","¿Por qué las puertas de la Alcazaba tienen arcos de herradura?","Los arcos de herradura son un elemento característico de la arquitectura árabe andalusí. En las puertas de la Alcazaba combinan la función estructural con el valor estético y simbólico propio de la arquitectura nazarí."
"111","¿Se parece la Alhambra a otras ciudadelas islámicas?","Sí. La Alhambra se inscribe en la tradición de las ciudadelas áulicas islámicas separadas a la vez que unidas con la capital, como Madinat al-Zahra junto a Córdoba. Muhammad I dejó marcado ese modelo que sus descendientes desarrollarían."
"112","¿Qué es una ciudadela áulica islámica?","Una ciudadela áulica islámica es un recinto palacial independiente, separado de la ciudad pero vinculado a ella, que reúne las funciones de gobierno, residencia del soberano, administración y defensa. La Alhambra es el ejemplo más completo conservado."
"113","¿Tiene la Alhambra antecedentes en la arquitectura andalusí?","Sí. La Alhambra tiene antecedentes en Madinat al-Zahra, la ciudad palatina construida por Abd al-Rahman III junto a Córdoba en el siglo X, y en la Aljafería de Zaragoza, del siglo XI."
"114","¿Cuántos sultanes construyeron la Alhambra?","La Alhambra fue construida por múltiples sultanes nazaríes a lo largo de los siglos XIII y XIV. Los más importantes fueron Muhammad I, Muhammad II, Muhammad III, Isma'il I, Yusuf I y Muhammad V."
"115","¿Cuánto tiempo tardó en construirse la Alhambra?","La Alhambra se construyó a lo largo de más de un siglo. Muhammad I inició las obras en 1238 y los principales palacios nazaríes se completaron durante el reinado de Muhammad V, que terminó en 1391."
"116","¿Estaba terminada la Alhambra cuando cayó el reino nazarí?","El conjunto monumental estaba muy avanzado pero no completamente terminado. Los últimos sultanes nazaríes del siglo XV añadieron algunos elementos, aunque el grueso de los palacios ya estaba construido cuando Granada cayó en 1492."
"117","¿Qué daños sufrió la fortaleza roja a lo largo de la historia?","La fortaleza sufrió daños en el período de abandono tras la expulsión de los moriscos en 1609 y graves desperfectos cuando las tropas napoleónicas volaron parte de sus torres al abandonar Granada en 1812."
"118","¿Qué restos de la fortaleza prenazarí se conservan?","En la base de la Torre de la Vela y en las murallas norte de la Alcazaba se conservan los restos más tangibles de las edificaciones de la Sabika anteriores a la época nazarí, del siglo XI."
"119","¿Quién fue el arquitecto más importante en la restauración de la Alhambra?","El arquitecto más importante en la restauración moderna fue Leopoldo Torres Balbás, que dirigió las obras entre 1923 y 1936 y llevó a cabo una labor fundamental para preservar el conjunto monumental."
"120","¿Qué representaba la Alhambra para los sultanes nazaríes?","La Alhambra representaba el poder y legitimidad de los sultanes nazaríes. Era su sede de gobierno, su residencia, el lugar donde se administraba justicia y donde se manifestaba el esplendor de la corte ante el pueblo y los visitantes."
"121","¿Por qué es tan importante la Alhambra en la historia del arte islámico?","La Alhambra es fundamental en la historia del arte islámico porque es la síntesis y culminación de la gran arquitectura andalusí y uno de los conjuntos palatinos medievales mejor conservados del mundo."
"122","¿Qué hace única a la Alhambra respecto a otros palacios islámicos?","La Alhambra es única por la combinación de su arquitectura militar, palatina y de jardines, por la integración de poesía monumental en sus muros, por su sistema hidráulico y por el excepcional estado de conservación de sus interiores decorados."
"123","¿A qué altura está la Alhambra?","La colina de la Sabika, donde se asienta la Alhambra, tiene una altitud de unos 790 metros sobre el nivel del mar, siendo la parte más alta del recinto la Torre del Aceituno, a 850 metros."
"124","¿Cómo es el relieve del cerro de la Alhambra?","El cerro de la Alhambra tiene pendientes tajadas y de áspera y difícil subida por su lado izquierdo o sur, mientras que la parte que da al Darro presenta laderas más escarpadas que separan la colina del río."
"125","¿Qué río pasa junto a la Alhambra?","El río Darro pasa junto a la base del cerro de la Alhambra, separándola de la colina del Albaicín. Es el río del que Muhammad I tomó el agua para la Acequia Real."
"126","¿Qué montañas se ven desde la Alhambra?","Desde la Alhambra se contemplan las cumbres de Sierra Nevada al fondo, la Vega de Granada y el barrio del Albaicín en la colina de enfrente. Es una de las panorámicas históricas más admiradas de Europa."
